,year,district,aq
262,2007,Ludwigsvorstadt - Isarvorstadt,129.2
263,2007,Maxvorstadt,162.6
264,2007,Schwabing - West,179.6
265,2007,Au - Haidhausen,137.4
266,2007,Sendling,126.2
267,2007,Sendling - Westpark,168.4
268,2007,Schwanthalerhöhe,104.5
269,2007,Neuhausen - Nymphenburg,160.9
270,2007,Moosach,138.8
271,2007,Milbertshofen - Am Hart,118.3
272,2007,Schwabing - Freimann,140.2
273,2007,Bogenhausen,157.1
274,2007,Berg am Laim,147.6
275,2007,Trudering - Riem,88.3
276,2007,Ramersdorf - Perlach,135.0
277,2007,Obergiesing - Fasangarten,148.7
278,2007,Untergiesing - Harlaching,185.6
279,2007,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,193.9
280,2007,Hadern,160.6
281,2007,Pasing - Obermenzing,136.9
282,2007,Aubing - Lochhausen - Langwied,151.8
283,2007,Allach - Untermenzing,139.9
284,2007,Feldmoching - Hasenbergl,133.2
285,2007,Laim,195.7
286,2006,Stadt München,146.8
287,2006,Altstadt - Lehel,198.1
288,2006,Ludwigsvorstadt - Isarvorstadt,132.8
289,2006,Maxvorstadt,166.6
290,2006,Schwabing - West,180.8
291,2006,Au - Haidhausen,138.2
292,2006,Sendling,123.9
293,2006,Sendling - Westpark,168.1
294,2006,Schwanthalerhöhe,104.8
295,2006,Neuhausen - Nymphenburg,162.5
296,2006,Moosach,135.2
297,2006,Milbertshofen - Am Hart,117.9
298,2006,Schwabing - Freimann,138.9
299,2006,Bogenhausen,155.7
300,2006,Berg am Laim,150.9
301,2006,Trudering - Riem,91.2
302,2006,Ramersdorf - Perlach,129.7
303,2006,Obergiesing - Fasangarten,149.0
304,2006,Untergiesing - Harlaching,187.6
305,2006,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,193.5
306,2006,Hadern,157.4
307,2006,Pasing - Obermenzing,137.3
308,2006,Aubing - Lochhausen - Langwied,148.9
309,2006,Allach - Untermenzing,140.5
310,2006,Feldmoching - Hasenbergl,132.8
311,2006,Laim,195.7
312,2005,Stadt München,143.2
313,2005,Altstadt - Lehel,186.1
314,2005,Ludwigsvorstadt - Isarvorstadt,129.4
315,2005,Maxvorstadt,173.8
316,2005,Schwabing - West,183.9
317,2005,Au - Haidhausen,138.0
318,2005,Sendling,118.7
319,2005,Sendling - Westpark,164.7
320,2005,Schwanthalerhöhe,103.6
321,2005,Neuhausen - Nymphenburg,160.5
322,2005,Moosach,130.7
323,2005,Milbertshofen - Am Hart,114.9
324,2005,Schwabing - Freimann,132.0
325,2005,Bogenhausen,148.7
326,2005,Berg am Laim,145.5
327,2005,Trudering - Riem,90.9
328,2005,Ramersdorf - Perlach,123.1
329,2005,Obergiesing - Fasangarten,147.5
330,2005,Untergiesing - Harlaching,184.8
331,2005,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,185.8
332,2005,Hadern,152.0
333,2005,Pasing - Obermenzing,133.5
334,2005,Aubing - Lochhausen - Langwied,142.3
335,2005,Allach - Untermenzing,136.2
336,2005,Feldmoching - Hasenbergl,131.1
337,2005,Laim,193.3
338,2004,Stadt München,140.0
339,2004,Altstadt - Lehel,187.9
340,2004,Ludwigsvorstadt - Isarvorstadt,127.3
341,2004,Maxvorstadt,166.9
342,2004,Schwabing - West,179.6
343,2004,Au - Haidhausen,140.1
344,2004,Sendling,114.4
345,2004,Sendling - Westpark,160.9
346,2004,Schwanthalerhöhe,100.9
347,2004,Neuhausen - Nymphenburg,157.8
348,2004,Moosach,127.4
349,2004,Milbertshofen - Am Hart,114.1
350,2004,Schwabing - Freimann,125.8
351,2004,Bogenhausen,146.2
352,2004,Berg am Laim,140.2
353,2004,Trudering - Riem,93.2
354,2004,Ramersdorf - Perlach,117.4
355,2004,Obergiesing - Fasangarten,147.9
356,2004,Untergiesing - Harlaching,184.7
357,2004,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,182.2
358,2004,Hadern,147.9
359,2004,Pasing - Obermenzing,129.5
360,2004,Aubing - Lochhausen - Langwied,133.6
361,2004,Allach - Untermenzing,131.6
362,2004,Feldmoching - Hasenbergl,125.0
363,2004,Laim,189.0
364,2003,Stadt München,136.2
365,2003,Altstadt - Lehel,176.9
366,2003,Ludwigsvorstadt - Isarvorstadt,127.3
367,2003,Maxvorstadt,164.9
368,2003,Schwabing - West,183.7
369,2003,Au - Haidhausen,138.3
370,2003,Sendling,115.3
371,2003,Sendling - Westpark,155.5
372,2003,Schwanthalerhöhe,101.7
373,2003,Neuhausen - Nymphenburg,152.8
374,2003,Moosach,121.0
375,2003,Milbertshofen - Am Hart,114.5
376,2003,Schwabing - Freimann,119.5
377,2003,Bogenhausen,141.8
378,2003,Berg am Laim,137.3
379,2003,Trudering - Riem,92.3
380,2003,Ramersdorf - Perlach,111.2
381,2003,Obergiesing - Fasangarten,142.2
382,2003,Untergiesing - Harlaching,180.9
383,2003,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,174.3
384,2003,Hadern,144.4
385,2003,Pasing - Obermenzing,126.0
386,2003,Aubing - Lochhausen - Langwied,127.5
387,2003,Allach - Untermenzing,127.0
388,2003,Feldmoching - Hasenbergl,120.0
389,2003,Laim,185.9
390,2002,Stadt München,133.9
391,2002,Altstadt - Lehel,183.4
392,2002,Ludwigsvorstadt - Isarvorstadt,126.6
393,2002,Maxvorstadt,163.0
394,2002,Schwabing - West,183.5
395,2002,Au - Haidhausen,136.1
396,2002,Sendling,114.1
397,2002,Sendling - Westpark,153.0
398,2002,Schwanthalerhöhe,101.9
399,2002,Neuhausen - Nymphenburg,149.3
400,2002,Moosach,117.3
401,2002,Milbertshofen - Am Hart,113.8
402,2002,Schwabing - Freimann,115.6
403,2002,Bogenhausen,139.6
404,2002,Berg am Laim,134.9
405,2002,Trudering - Riem,91.1
406,2002,Ramersdorf - Perlach,107.8
407,2002,Obergiesing - Fasangarten,141.0
408,2002,Untergiesing - Harlaching,180.5
409,2002,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,170.4
410,2002,Hadern,140.7
411,2002,Pasing - Obermenzing,125.2
412,2002,Aubing - Lochhausen - Langwied,120.9
413,2002,Allach - Untermenzing,124.2
414,2002,Feldmoching - Hasenbergl,115.8
415,2002,Laim,184.8
416,2001,Stadt München,132.3
417,2001,Altstadt - Lehel,189.9
418,2001,Ludwigsvorstadt - Isarvorstadt,125.9
419,2001,Maxvorstadt,162.1
420,2001,Schwabing - West,184.5
421,2001,Au - Haidhausen,135.7
422,2001,Sendling,114.3
423,2001,Sendling - Westpark,150.5
424,2001,Schwanthalerhöhe,100.4
425,2001,Neuhausen - Nymphenburg,149.5
426,2001,Moosach,115.1
427,2001,Milbertshofen - Am Hart,111.3
428,2001,Schwabing - Freimann,113.0
429,2001,Bogenhausen,138.4
430,2001,Berg am Laim,136.9
431,2001,Trudering - Riem,93.4
432,2001,Ramersdorf - Perlach,102.5
433,2001,Obergiesing - Fasangarten,142.1
434,2001,Untergiesing - Harlaching,179.7
435,2001,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,168.6
436,2001,Hadern,139.1
437,2001,Pasing - Obermenzing,123.2
438,2001,Aubing - Lochhausen - Langwied,113.2
439,2001,Allach - Untermenzing,121.3
440,2001,Feldmoching - Hasenbergl,112.6
441,2001,Laim,184.9
442,2000,Stadt München,131.5
443,2000,Altstadt - Lehel,186.0
444,2000,Ludwigsvorstadt - Isarvorstadt,128.6
445,2000,Maxvorstadt,165.6
446,2000,Schwabing - West,186.6
447,2000,Au - Haidhausen,138.1
448,2000,Sendling,113.8
449,2000,Sendling - Westpark,148.9
450,2000,Schwanthalerhöhe,100.6
451,2000,Neuhausen - Nymphenburg,149.9
452,2000,Moosach,111.9
453,2000,Milbertshofen - Am Hart,108.9
